trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.3, 'e': 0.37499999999999944}",25,6,-11.054625138314204,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.36999999999999944}",20,6,-5.683217860496926,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.36499999999999944}",25,13,-9.033123018059644,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.35999999999999943}",20,0,-38.91854395806896,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
130,False,"{'a': 0.3, 'e': 0.3549999999999994}",20,0,28.163827453957534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.3, 'e': 0.3499999999999994}",25,15,15.271760247601236,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.3449999999999994}",25,10,14.189995332109401,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.3399999999999994}",20,10,6.2338034378037195,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.3349999999999994}",25,7,-65.65398945254931,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
135,False,"{'a': 0.3, 'e': 0.3299999999999994}",25,10,-14.193263162303902,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.3249999999999994}",20,15,8.671903112606213,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.3199999999999994}",20,5,12.146347805977928,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.3149999999999994}",25,13,19.99603907615352,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.3099999999999994}",25,14,-74.74533685857826,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
140,False,"{'a': 0.3, 'e': 0.3049999999999994}",20,12,18.206619238900558,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.2999999999999994}",25,10,-9.152392421463404,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.2949999999999994}",25,0,35.558939751936435,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.3, 'e': 0.28999999999999937}",30,17,4.084638071943708,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
