trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
186,False,"{'a': 0.3, 'e': 0.07499999999999918}",25,12,20.826502425936994,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.3, 'e': 0.06999999999999917}",20,10,17.752579910990413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.3, 'e': 0.06499999999999917}",25,13,23.65020943821572,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.3, 'e': 0.05999999999999917}",25,0,27.362060780616698,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
190,False,"{'a': 0.3, 'e': 0.054999999999999175}",20,14,10.172830121584099,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3, 'e': 0.04999999999999918}",20,12,14.365693545341237,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,28.064888998275663,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,24.58684909781462,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,19.722931351055575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,16,27.490974467404413,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,12.626395597861844,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,13,32.31923406502567,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,22.068569194939208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,16,28.217964322682054,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,11,26.509653416838027,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,1,28.13194276223324,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
